ID Corte,Fecha Corte,Mes,Numero Corte Mes,Comentario Corte,ID Tarea,Tarea,Etapa,Fase,Línea,Disciplina,Tipo EPC,BAC,AC,Avance Real %,Avance Planificado %,EV,PV,CPI,SPI,Forecast EAC,ETC,VAC
2026-06-C01,2026-06-04,2026-06,1,Corte inicial prueba 1,A1,Pruebas en tunel de viento - modelos en 3d,Primera etapa,Investigación Tecnologíca,Pruebas preliminares,Aerodinámica / I+D,Gestión PMO,300521.0,300521.0,1.0,1.0,300521.0,300521.0,1.0,1.0,300521.0,0.0,0.0
2026-06-C01,2026-06-04,2026-06,1,Corte inicial prueba 1,,Pruebas en tunel de viento - modelos en 3d- rodamientos y vastagos,Primera etapa,Investigación Tecnologíca,Pruebas preliminares,Aerodinámica / I+D,Gestión PMO,184537.0,184537.0,1.0,1.0,184537.0,184537.0,1.0,1.0,184537.0,0.0,0.0
2026-06-C01,2026-06-04,2026-06,1,Corte inicial prueba 1,,Diseños Preliminares,Primera etapa,Investigación Tecnologíca,Pruebas preliminares,Proyecto / Operacional,Gestión PMO,4538575.0,4538575.0,1.0,1.0,4538575.0,4538575.0,1.0,1.0,4538575.0,0.0,0.0
2026-06-C01,2026-06-04,2026-06,1,Corte inicial prueba 1,,Diseño de modelos de tubrina + analisis de acoples + identificación de perfiles,Primera etapa,Investigación Tecnologíca,Pruebas preliminares,Mecánica / Transmisión,Gestión PMO,1422414.0,1422414.0,1.0,1.0,1422414.0,1422414.0,1.0,1.0,1422414.0,0.0,0.0
2026-06-C01,2026-06-04,2026-06,1,Corte inicial prueba 1,,Pruebas en tunel de viento - modelos en 3d,Primera etapa,Investigación Tecnologíca,Pruebas Definitivas,Aerodinámica / I+D,Gestión PMO,13180007.0,13180007.0,1.0,1.0,13180007.0,13180007.0,1.0,1.0,13180007.0,0.0,0.0
2026-06-C01,2026-06-04,2026-06,1,Corte inicial prueba 1,,Diseño de modelos de tubrina + analisis de acoples + identificación de perfiles,Primera etapa,Investigación Tecnologíca,Pruebas Definitivas,Mecánica / Transmisión,Gestión PMO,1005747.0,1005747.0,1.0,1.0,1005747.0,1005747.0,1.0,1.0,1005747.0,0.0,0.0
2026-06-C01,2026-06-04,2026-06,1,Corte inicial prueba 1,,Simulaciones Discovery,Primera etapa,Investigación Tecnologíca,Pruebas Definitivas,Aerodinámica / I+D,Gestión PMO,15000.0,15000.0,1.0,1.0,15000.0,15000.0,1.0,1.0,15000.0,0.0,0.0
2026-06-C01,2026-06-04,2026-06,1,Corte inicial prueba 1,,Pruebas en túnel de viento - modelos en 3d- rodamientos y vastagos,Primera etapa,Investigación Tecnologíca,Pruebas Definitivas,Aerodinámica / I+D,Gestión PMO,209440.0,209440.0,1.0,1.0,209440.0,209440.0,1.0,1.0,209440.0,0.0,0.0
2026-06-C01,2026-06-04,2026-06,1,Corte inicial prueba 1,,"Gestión estratégica, coordinación I+D, diseño conceptual",Primera etapa,Investigación Tecnologíca,Pruebas preliminares,Gestión de proyecto / PMO,Gestión PMO,15000.0,15000.0,1.0,1.0,15000.0,15000.0,1.0,1.0,15000.0,0.0,0.0
2026-06-C01,2026-06-04,2026-06,1,Corte inicial prueba 1,,"Gestión estratégica, coordinación I+D, diseño conceptual",Primera etapa,Investigación Tecnologíca,Pruebas Definitivas,Gestión de proyecto / PMO,Gestión PMO,15000.0,15000.0,1.0,1.0,15000.0,15000.0,1.0,1.0,15000.0,0.0,0.0
